Tempo_s,Altitude_Real_m,Leitura_Barometro_m,Velocidade_Vertical_ms
0.84,493.399832,495.3660933745238,11.379600000000002
0.86,493.62546199999997,488.9091538815318,11.183400000000002
0.88,493.847168,489.1081064950721,10.987200000000001
0.9,494.06495,492.7248860611761,10.791000000000002
0.92,494.278808,492.4976846544872,10.594800000000001
0.9400000000000001,494.488742,492.34272149516397,10.398600000000002
0.96,494.694752,500.8400568407469,10.2024
0.98,494.896838,496.00013712555733,10.006200000000002
1.0,495.095,490.9771137704483,9.81
1.02,495.289238,498.1988972386389,9.6138
1.04,495.479552,502.09030845740324,9.4176
1.06,495.665942,498.9525452591872,9.2214
1.08,495.848408,491.4035195109521,9.0252
1.1,496.02695,494.7325412789229,8.828999999999999
1.12,496.201568,499.7463680736989,8.6328
1.1400000000000001,496.372262,490.3199527465543,8.436599999999999
1.16,496.539032,497.81952315192706,8.240400000000001
1.18,496.701878,498.9500217363024,8.044200000000002
1.2,496.8608,494.32807807428605,7.848000000000001
1.22,497.015798,500.833313391196,7.651800000000001
1.24,497.166872,488.7608521150108,7.4556000000000004
1.26,497.314022,494.5858078578608,7.2594
1.28,497.457248,496.96401863621134,7.0632
1.3,497.59655,494.8250598125602,6.867
1.32,497.731928,501.53177353886656,6.6708
1.34,497.863382,494.74459680763323,6.4746
1.36,497.990912,497.0598567647743,6.2783999999999995
1.3800000000000001,498.114518,498.3045454030052,6.082199999999999
1.4000000000000001,498.2342,501.38656128694925,5.885999999999999
1.42,498.349958,495.55528872142617,5.689800000000001
1.44,498.461792,500.8593611801982,5.493600000000001
1.46,498.569702,498.82513247859,5.2974000000000006
1.48,498.673688,496.3295684748206,5.1012
1.5,498.77375,499.7986485690491,4.905
1.52,498.869888,499.26429167187877,4.7088
1.54,498.962102,497.787752738315,4.5126
1.56,499.050392,499.193243697931,4.3164
1.58,499.134758,498.13600660256486,4.1202
1.6,499.2152,499.3852986344692,3.9239999999999995
1.62,499.291718,500.51100516333884,3.7277999999999993
1.6400000000000001,499.364312,502.33591726812546,3.5315999999999987
1.6600000000000001,499.432982,497.24032012196415,3.3353999999999986
1.68,499.497728,502.97013166279214,3.1392000000000007
1.7,499.55855,496.23813877227497,2.9430000000000005
1.72,499.615448,499.5036080828929,2.7468000000000004
1.74,499.668422,500.6719729717561,2.5506
1.76,499.717472,500.0887006574386,2.3544
1.78,499.762598,498.85115583300325,2.1582
1.8,499.8038,499.4911566015931,1.9619999999999997
1.82,499.841078,499.21805082058853,1.7657999999999994
1.84,499.874432,498.85785218097294,1.5695999999999992
1.86,499.903862,501.15916350273756,1.373399999999999
1.8800000000000001,499.929368,500.41535160604013,1.177199999999999
1.9000000000000001,499.95095,498.6795553179328,0.9809999999999988
1.92,499.968608,509.3728147327383,0.7848000000000007
1.94,499.982342,500.4844457703929,0.5886000000000006
1.96,499.992152,501.21455899715943,0.39240000000000036
1.98,499.998038,500.9077476405606,0.19620000000000018
2.0,500.0,498.5442018723093,-0.0
2.02,499.998038,499.09426531900027,-0.19620000000000018
2.04,499.992152,501.06384272886925,-0.39240000000000036
2.06,499.982342,500.7815207344053,-0.5886000000000006
2.08,499.968608,499.9128213737575,-0.7848000000000007
2.1,499.95095,500.1896657903215,-0.9810000000000009
2.12,499.929368,502.1619917502672,-1.1772000000000011
2.14,499.903862,499.0217696213461,-1.3734000000000013
2.16,499.874432,500.7589828791398,-1.5696000000000014
2.18,499.841078,499.5148012578505,-1.7658000000000016
2.2,499.8038,499.1737509203329,-1.9620000000000017
2.22,499.762598,501.50274706076095,-2.158200000000002
2.24,499.717472,501.0504206933003,-2.3544000000000023
2.2600000000000002,499.668422,501.35740407163206,-2.5506000000000024
2.2800000000000002,499.615448,501.7294943238931,-2.7468000000000026
2.3000000000000003,499.55855,499.63869885446803,-2.9430000000000027
2.32,499.497728,500.64145740062105,-3.1391999999999984
2.34,499.432982,498.72756107475055,-3.3353999999999986
2.36,499.364312,500.09779245931065,-3.5315999999999987
2.38,499.291718,499.17538339791656,-3.7277999999999993
2.4,499.2152,499.50735227970546,-3.9239999999999995
2.42,499.134758,500.0805244372204,-4.1202
2.44,499.050392,497.74764532778795,-4.3164
2.46,498.962102,502.68931371480494,-4.5126
2.48,498.869888,497.03064887392463,-4.7088
2.5,498.77375,496.73330678363163,-4.905
2.52,498.673688,500.82733587581504,-5.1012
2.54,498.569702,500.0888012352768,-5.2974000000000006
2.56,498.461792,499.7660890302411,-5.493600000000001
2.58,498.349958,499.5983664211524,-5.689800000000001
2.6,498.2342,497.9752748998892,-5.886000000000001
2.62,498.114518,496.1565657948093,-6.082200000000001
2.64,497.990912,498.00129991736026,-6.278400000000001
2.66,497.863382,496.3864235399791,-6.4746000000000015
2.68,497.731928,499.87030167892755,-6.670800000000002
2.7,497.59655,497.4784304857381,-6.867000000000002
2.72,497.457248,495.32933183977684,-7.063200000000002
2.74,497.314022,496.46607132403176,-7.259400000000002
2.7600000000000002,497.166872,498.33866918885025,-7.455600000000002
2.7800000000000002,497.015798,495.36671720566414,-7.651800000000003
2.8000000000000003,496.8608,494.7120609863237,-7.848000000000003
2.82,496.701878,497.55914510304024,-8.044199999999998
2.84,496.539032,496.9772516924291,-8.2404
2.86,496.372262,494.9629992140733,-8.436599999999999
2.88,496.201568,494.875788445412,-8.6328
2.9,496.02695,496.8314592228843,-8.828999999999999
2.92,495.848408,491.27912758780855,-9.0252
2.94,495.665942,491.1126294459511,-9.2214
2.96,495.479552,493.28543303873124,-9.4176
2.98,495.289238,494.643717127643,-9.6138
3.0,495.095,496.1599452429548,-9.81
3.02,494.896838,499.9315637301967,-10.006200000000002
3.04,494.694752,497.5531046606889,-10.2024
3.06,494.488742,493.9594042414228,-10.398600000000002
3.08,494.278808,494.2542214600023,-10.594800000000001
3.1,494.06495,490.26512421681906,-10.791000000000002
3.12,493.847168,494.05736048788606,-10.987200000000001
3.14,493.62546199999997,492.5866348976199,-11.183400000000002
3.16,493.399832,494.4887868574388,-11.379600000000002
3.18,493.170278,489.9495101319107,-11.575800000000003
3.2,492.9368,494.91907436396514,-11.772000000000002
3.22,492.699398,499.2330596932064,-11.968200000000003
3.24,492.458072,492.16696752193036,-12.164400000000002
3.2600000000000002,492.212822,493.843074062269,-12.360600000000003
3.2800000000000002,491.963648,495.1836934646391,-12.556800000000003
3.3000000000000003,491.71055,489.94712205737375,-12.753000000000004
3.3200000000000003,491.453528,492.61752999130243,-12.949200000000003
3.34,491.192582,491.5367892909833,-13.145399999999999
3.36,490.927712,491.3634087786152,-13.3416
3.38,490.658918,486.73001031080645,-13.537799999999999
3.4,490.3862,490.37622265854634,-13.734
3.42,490.109558,492.5461239595851,-13.9302
3.44,489.82899199999997,497.4238275199288,-14.1264
3.46,489.544502,494.7242400754968,-14.3226
3.48,489.256088,501.0376394522002,-14.5188
3.5,488.96375,484.8214053719062,-14.715
3.52,488.667488,493.61457848357463,-14.911200000000001
3.54,488.367302,489.6449350084246,-15.107400000000002
3.56,488.063192,500.92417710686385,-15.303600000000001
3.58,487.755158,487.30969872871435,-15.499800000000002
3.6,487.4432,482.3985126904315,-15.696000000000002
3.62,487.127318,483.2612088144345,-15.892200000000003
3.64,486.807512,473.1533724333484,-16.088400000000004
3.66,486.483782,483.1533198357528,-16.2846
3.68,486.156128,481.11778783049004,-16.480800000000002
3.7,485.82455,486.9415133193636,-16.677000000000003
3.72,485.489048,487.89703498494106,-16.873200000000004
3.74,485.149622,498.2026305761713,-17.0694
3.7600000000000002,484.806272,491.4171807512268,-17.265600000000003
3.7800000000000002,484.458998,480.06817294155576,-17.461800000000004
3.8000000000000003,484.1078,477.44076035785156,-17.658000000000005
3.8200000000000003,483.752678,487.55920938755884,-17.854200000000002
3.84,483.393632,473.3800023046682,-18.0504
3.86,483.030662,497.024045063372,-18.2466
3.88,482.663768,491.9808629421733,-18.4428
3.9,482.29295,478.5907828365326,-18.639
3.92,481.918208,467.8204321206329,-18.8352
3.94,481.539542,492.78774749816324,-19.0314
3.96,481.156952,480.19989635772436,-19.2276
3.98,480.770438,491.2121224998756,-19.4238
